"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Ecommerce Automation","3","Contact Us","3","0","","0"
"1","Ecommerce Automation","0","Home Page & Navigation","9","0","","0"
"1","Ecommerce Automation","0","Login / Logout","10","0","","0"
"5","Ecommerce Automation","1","Shopping Cart","6","0","","0"
"4","Ecommerce Automation","0","Product Search","9","0","","0"
"12","Ecommerce Automation","0","Product Detail Page","0","0","","0"
"4","Ecommerce Automation","3","Product Listing & Filters","6","0","","0"
"1","Ecommerce Automation","0","Checkout & Orders","9","0","","0"
"2","Ecommerce Automation","0","Cross-Browser & Responsive","19","0","","0"
"4","Ecommerce Automation","0","User Registration","9","0","","0"
