"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1778","Contact form accepts a file attachment and still submits fine","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.ContactUsTests","RegressionModules","com.rishabh.tests.regression.ContactUsTests","contactUs_withFileAttachment_submitsSuccessfully"
"","16766","Subscribing with an empty email doesn't fire the success banner","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.HomeNavigationTests","RegressionModules","com.rishabh.tests.regression.HomeNavigationTests","homeSubscription_emptyEmail_blocked"
"","1062","Category and brand sidebars render on the home page","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.HomeNavigationTests","RegressionModules","com.rishabh.tests.regression.HomeNavigationTests","homePage_categoryAndBrandSidebars_visible"
"","2020","Both login and signup forms are present on /login","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.LoginLogoutTests","RegressionModules","com.rishabh.tests.regression.LoginLogoutTests","loginPage_navigateDirectly_bothFormsVisible"
"","13671","TC16 - Logged in user can proceed straight to the checkout page","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.CartTests","RegressionModules","com.rishabh.tests.regression.CartTests","cart_proceedToCheckoutWhileLoggedIn_navigatesToCheckoutPage"
"","1","setUp","EcommerceRegressionSuite","2026-07-04","broken","2026-07-04","com.rishabh.tests.regression.ProductSearchTests","RegressionModules","com.rishabh.tests.regression.ProductSearchTests","setUp"
"","17554","Quantity field defaults to 1 on page load","EcommerceRegressionSuite","2026-07-04","broken","2026-07-04","com.rishabh.tests.regression.ProductDetailTests","RegressionModules","com.rishabh.tests.regression.ProductDetailTests","productDetail_quantitySelector_defaultValueIsOne"
"","17727","Product price format always includes the Rs. currency prefix","EcommerceRegressionSuite","2026-07-04","broken","2026-07-04","com.rishabh.tests.regression.ProductDetailTests","RegressionModules","com.rishabh.tests.regression.ProductDetailTests","productDetail_priceFormat_includesCurrencyPrefix"
"","10038","Malformed email in the login field is rejected client-side","EcommerceRegressionSuite","2026-07-04","passed","2026-07-04","com.rishabh.tests.regression.LoginLogoutTests","RegressionModules","com.rishabh.tests.regression.LoginLogoutTests","loginUser_withInvalidEmailFormat_blocked"
"","2427","TC19 - View and filter products by the Polo brand","EcommerceRegressionSuite","2026-07-04","failed","2026-07-04","com.rishabh.tests.regression.ProductListingFilterTests","RegressionModules","com.rishabh.tests.regression.ProductListingFilterTests","viewBrandProducts_polo_showsFilteredResults"
